,School,CourseID,Descriptions
0,Northwestern,"P ISEN 210-0 Introduction to Sustainability: Challenges and Solutions Introduction to using life-cycle systems perspectives in forming evaluations and basic quantitative understandings of the challenges and potential solutions that exist for sustainable societies; framing these in the context of resource use, energy consumption and development, and environmental constraints. ","P ISEN 220-0 Introduction to Energy Systems for the 21st Century Overview of energy issues in the context of global sustainability: energy demands for industrial, transportation, housing, and commercial uses, strategies for demand reduction, traditional versus renewable energy systems. "
1,Northwestern,"P ISEN 220-0 Introduction to Energy Systems for the 21st Century Overview of energy issues in the context of global sustainability: energy demands for industrial, transportation, housing, and commercial uses, strategies for demand reduction, traditional versus renewable energy systems. ","P ISEN 230-0 Climate Change and Sustainability: Economic and Ethical Dimensions Interdisciplinary analysis of economic and ethical issues concerning climate change; scientific evidence for anthropogenic global warming; economics and ethics of resource use, conservation practices, and sustainability. Cross-listed with PHIL 270; students may not earn credit for both courses. "
2,Northwestern,"P ISEN 230-0 Climate Change and Sustainability: Economic and Ethical Dimensions Interdisciplinary analysis of economic and ethical issues concerning climate change; scientific evidence for anthropogenic global warming; economics and ethics of resource use, conservation practices, and sustainability. Cross-listed with PHIL 270; students may not earn credit for both courses. ",P ISEN 390-0 Special Topics in Energy and Sustainability 
3,Northwestern,P ISEN 390-0 Special Topics in Energy and Sustainability ,"P Focused exploration of specific topical themes, trends, and challenges in applied energy and sustainability. Content varies each year; previously offered topics include geographic information systems and the impact of energy systems on the geographic distribution, well-being, and social organization of societies. May be repeated for credit with change in topic. "
4,Northwestern,P TRANS 310-0 Seminar in Transportation and Logistics ,P Yearlong senior seminar on the structure of the transportation and supply-chain industries and evaluation of relevant public policy. Students receive 1 credit in the spring quarter of their senior year. TRANS 399-0 Independent Study Advanced work chosen by mutual agreement with a faculty member. Only 1 unit may count toward the minor. Consent of faculty required. 
5,Northwestern,"P ART 220-0 Introduction to Painting Introduction to problems in oil painting and visual thinking. Includes surface preparation, color mixing, and composition. No previous experience necessary. ART 230-0 Introduction to Time-Based Arts Introduction to a wide range of time-based art practices as used in the visual arts, including performance, sound, and video. No previous experience necessary. ART 240-0 Introduction to Sculpture Introduction to basic sculptural materials and techniques and issues of three-dimensional form. No previous experience necessary. ART 250-0 Introduction to Photography Extensive darkroom instruction focusing on aesthetic problems and the production of high-quality black-and-white prints. No previous experience necessary. ART 260-0 Studio Practice Exploration of varied techniques and strategies geared toward the development of an individualized and self-directed studio practice. Prerequisite: junior standing in the major or consent of instructor. ART 270-0 Contemporary Art Survey Forms and concerns of art from the 1960s to the present, introduced in slide-lecture format. ",P ART 272-0 Critical Methods for Contemporary Art 
6,Northwestern,P ART 272-0 Critical Methods for Contemporary Art ,"P Introduction to basic key terms, concepts, and analytical categories of theoretical discourses relevant to an informed and critical engagement with contemporary art. ART 360-0 Senior Critique Students complete a body of work to be shown in the senior exhibition, develop their critical skills, and learn to give articulate verbal and written expression to the concerns their art explores. Prerequisite: 260 or consent of instructor. ART 372-0 Seminar Variable topics addressed in a seminar format. Prerequisites: vary with topic. ART 382-0 Studio/Seminar Variable topics addressed in studio and seminar formats. Readings; approaches toward art making related to readings in studio projects. Prerequisites vary with topic. ART 390-0 Studio Studio course focusing on a topic or theme of special interest in contemporary art. Content varies. Prerequisites: vary with topic. ART 399-0 Independent Study For advanced majors pursuing projects outside the context of regularly offered courses. Prerequisite: consent of department chair. "
7,Northwestern,P CHEM 161-0 Accelerated General Chemistry Laboratory I ,"P (0.34 units) Chemical analysis of real samples using basic laboratory techniques including titration, colorimetric analysis, density measurements, and atomic spectroscopy. Planning, data collection, interpretation, and reporting on experiments. Must be taken concurrently with 151. "
8,Northwestern,P CHEM 162-0 Accelerated General Chemistry Laboratory II ,"P (0.34 units) Chemistry laboratory techniques applied to materials science and nanotechnology, acid-base chemistry, and chemical kinetics. Planning, data collection, interpretation, and reporting on experiments. Must be taken concurrently with 152. Prerequisites: 151, 161 (C– or better). CHEM 171-0 Advanced General Inorganic Chemistry Review of mole problems and stoichiometry; descriptive chemistry, elements, compounds, and inorganic reactions; gas laws; phase equilibria and colligative properties; chemical equilibrium; aqueous equilibria; topics in chemical bonding and molecular structure. Must be taken concurrently with "
9,Northwestern,P CHEM 172-0 Advanced General Physical Chemistry ,"P Thermodynamics and equilibrium; chemical kinetics and mechanism; electrochemistry; electronic structure of the atom and quantum theory; advanced topics in chemical bonding; coordination compounds; solid-state chemistry; nuclear chemistry. Must be taken concurrently with 182. Prerequisites: 171, 181 (C– or better); MATH 220. CHEM 181-0 General Chemistry Laboratory (.34 units) Laboratory techniques for studying chemical analysis and chemical reactions relevant to environmental or materials research. Planning, data collection, interpretation, and reporting on experiments. Must be taken concurrently with 171. Prerequisite: appropriate AP credit. CHEM 182-0 General Inorganic Chemistry Laboratory (.34 units) Study of the physical chemistry (acid-base chemistry, kinetics, etc.) behind the operating principles of biosensors. Planning, data collection, interpretation, and reporting on these experiments. Must be taken concurrently with "
