,Description,CourseID
0,desc ,ClassID
1,perspectives healthcare costa rica optional elective second half term . able complete international internship second half term . following : i perspectives health care costa rica 3 . provides in-depth health care relating gender roles environment issues immigrant status . delve into health introduction demography factors related health illness epidemiology comparative health systems . assesses ethics universal health care a developing nation . field trips public private hospitals neighborhood health centers hiv centers urban immigrant communities provide a broad understanding sociology healthcare costa rica . costa rica center . i ,NTL 335
2,102 200 210 274 301 approved 490 ) 3. communication expressive arts 21 hours least two following subjects : art ( art ) foreign languages ( fl ) communication ( comm ) music ( mus ) theatre ( thtr ) concentrations a construct equivalent additional coursework applied toward b.a . degree . arts sciences 50 associate science degree ( 60 . ) a. general education 1. first core 10 . human geography 3 . a topical introduction themes subfields human geography especially population economic cultural urban political geography . examples highlighting themes draw relevant contemporary events industrialized developing worlds . partially science component general education . ,GEO 101
3,wellness stress 1 . b. field least 30 hours natural science mathematics . preparing admission allied health fields develop appropriate program associate degree advisor . c. 1. following completed residence valparaiso university : a . 30 last 34 hours degree b. least 15 hours natural science mathematics c. wellness stress 1 . b. education elementary secondary education listed beginning page 116. arts sciences 58 bachelor science physical education degree ( 124 . ) a. general education details see bachelor arts degree . 1. first core 10 . 2. theology 6 . c. wellness stress 1 . b. field first a double physical education . see page 193 specific . arts sciences 59 bachelor degree ( 124 . ) a. general education details see bachelor arts degree . 1. first core 10 . 2. theology 6 . e. wellness stress . anyone served armed forces least exempted requirement exception national guard members . four hours earned wellness stress 1 . designed freshmen ( transfer ) taken first attendance valparaiso university . aimed helping identify body ’ s reaction various types stress . various stressors unique environment . additionally a variety ways deal stress including coping skills stress management techniques . a physical activity component . take either wellness stress 1 . humanities 3 . following options : -149 applied toward a bachelor science nursing degree . 6 baccalaureate nursing . * grade c ( 2.000 ) better **rn-bsn requirement taking ,KIN 101
4,2. earn a cumulative grade point average 2.000 residence natural science mathematics taken residence . associate science degree concurrent cytotechnology certification obtained . see page 60. arts sciences 51 bachelor arts degree ( 124 . ) a. general education 1. first core 10 . christian tradition 3 . b. 300-level theology 3 . 3. writing intensive 3 . 4. cultural diversity 11 . a. foreign language 8 . b. cultural diversity 3 . 5. humanities 6 . two two different areas : a. fine performing arts 3 . b. history 3 . c. literature 3 . d. philosophy 3 . 6. sciences 3 . 7. natural sciences 3-4 . 8. quantitative analysis 3-4 . 9. health wellness 1 . following options : a. christian tradition 3 . b. 300-level theology 3 . 3. writing intensive 3 . 4. cultural diversity 3 . a. christian tradition 3 . b. 300-level theology 3 . 3. writing intensive 3 . 4. cultural diversity 3-4 . following options : a. foreign language 203 higher 4 . b. cultural diversity 3 . 5. humanities 6 . two two different areas : a. fine performing arts 3 . b. history 3 . c. literature 3 . d. philosophy 3 . 6. sciences 6 . 7. natural sciences 6-8 . 8. quantitative analysis ( christian tradition 3 . b. 300-level theology 3 . 3. writing intensive 3 . 4. cultural diversity 3 . a. christian tradition 3 . d. 300-level theology 3 . 3. writing intensive 3 . 4. cultural diversity 3-4 . following options : a. foreign language 203 higher 4 . b. cultural diversity 3 . 5. humanities 3 . following options : a. fine performing arts 3 . b. history 3 . c. literature 3 . d. philosophy 3 . 6. sciences 6 . 7. natural sciences 6-8 . 8. quantitative analysis 3 . christian tradition 3 . f. 300-level theology 3 . 3. writing intensive 3 . 4. cultural diversity 11 . a. foreign language 8 . b. cultural diversity 3 . 5. humanities 6 . two two different areas : a. fine performing arts 3 . b. history 3 . c. literature 3 . d. philosophy 3 . 6. sciences 6 . 7. natural sciences 6-8 . 8. quantitative analysis 3-4 . 9. health wellness 1 . following options : a. a prerequisite upper level ( except transfer receive a waiver chair theology ) . whose programs theology take . bachelor arts – theology ( minimum 34 . ) foundation 3 . following options : christian tradition 3 . a origins development christian thought forms communities engages . sophomore standing recommended ; least . sections writing intensive general education requirement . biblical studies a 300-level theo ) . 13 12 related disciplines complement 's ministry objectives . theology ministry 283 christian tradition 3 . writing intensive 3 . cultural diversity 11 . foreign language 8 . following options : numbered 102 203 a foreign language high school numbered 101 102 a foreign language taken before nonimmigrant visa international whose native language english there foreign language requirement providing completed christian tradition 3 . humanities 3 . following options : fine performing arts history literature philosophy ( except christian traditionw 3 . foreign language/diversity electivew 3 . engineering 326 humanities science theology electivesw 6 . science elective 3 . technical elective 3 . professional elective 3 . : christian tradition a writing intensive . a list approved a writing intensive provided page 481. professional elective professional elective requirement met taking a approved list found page 346. choices made available petition civil engineering . civil engineering electives nine selected array civil engineering electives provided . civil engineering elective indicated a superscript c '' : ( ... ) c. cooperative education request substitute up six christian traditionw 3 . foreign language/diversity electivew 3 . humanities science theology electivesw 6 . : christian tradition a writing intensive . a list approved a writing intensive provided page 481. cooperative education six christian traditionw 3 . foreign language/diversity electivew 3 . humanities science theology electivesw 6 . : christian tradition a writing intensive . a list approved a writing intensive provided page 481. computer engineering electives thirteen taken choosing following : christian traditionw 3 . foreign language/diversity electivew 3 . humanities science theology electivesw 6 . math/science elective 3 . : christian tradition a writing intensive . a list approved a writing intensive provided page 481. cooperative education christian traditionw 3 . foreign language/diversity electivew 3 . humanities science theology electivesw 6 . : christian tradition a writing intensive . a list approved a writing intensive provided page 481. cooperative education christian tradition 3 . 5. fine performing arts 3 . 6. sciences 3 . 7. history 3 . 8. cultural diversity 3 . 9. natural science 4 . 10. `` ,THEO 200
5,learning exceptionalities 3 . d. music field given page 215. arts sciences 56 bachelor science degree ( 124 . ) a. general education details see bachelor arts degree . 1. first core 10 . 2. theology 6 . a. learning exceptionalities 3 . education does meet necessary licensure . education 120 special education ( minimum 19 . ) earn a special education earn a minimum 19 hours sped classes earn k-12 licensure special education . supervised teaching ( does count toward because a pre-service teachers . since leads k-12 licensure mild intervention content area several teacher performance standards embedded additional education special education open education . : /540 learning exceptionalities 3 . a introduces special education laws passed since 1970 govern provision current special education services various disabilities characteristics disabilities instructional classroom practices associated educating multicultural least restrictive environments basic techniques education professionals together parents . a field experience . teacher education . learning exceptionalities 3 . complete application formal admission into teacher education program education . see education 's portion catalog ( page 118 ) information complementary secondary education . 4 complete receive a minimum grade c additional order upper level kin . kinesiology 195 bachelor science – exercise science ( minimum 28 . ) ,SPED 440
6,/553 ) . taken work/ministry requirement ; see below . suggested depending 's ministry focus : understanding self others group dynamics ; christian worship ; religious education ; understanding issues human need ; justice . 3. work/ministry field a practical ministry site ; 100 hours over two . taken valparaiso university ( /553 clinical education ministry 3 . a carefully supervised practicum ministry physically ill elderly . designed principally senior diaconal pre-seminary practical theology engages disciplined reflection ministry . others consent . upper level theology component general education . usually s/u basis . junior senior standing . ,THEO 453
7,university writing 3+2 4 . introductory designed help undergraduates read write essays order participate conversations form valparaiso ’ s intellectual community . while engaging pieces western literature gives special attention practices close reading rhetorical analysis collaboration substantive revision . writing multiple drafts essays typically ranging three ten pages writing a process forming refining ideas prose . teaches writing a unique skill practiced developed . . peer tutors assist learning read write college-level essays while refining own abilities practices close reading rhetorical analysis collaboration substantive revision . approval . s/u grade . ,CORE 105
8,human experience 5 . a writing-intensive interdisciplinary initiates first into vu community exploring significant themes human experience engaging resources areas history theology philosophy literature arts . a core experience extending two 5 sections 20 . taught a trained core faculty areas across university faculty meeting regularly promote extensive collaborative activity faculty . ,CORE 110
9,human experience 5 . a writing-intensive interdisciplinary initiates first into vu community exploring significant themes human experience engaging resources areas history theology philosophy literature arts . a core experience extending two 5 sections 20 . taught a trained core faculty areas across university faculty meeting regularly promote extensive collaborative activity faculty . . advanced placement program submit results advanced placement examinations eligible receive accordance following table . ap examinations taken before a full-time valparaiso university . information contact admissions office . examination score art studio : 2d design granted transfer taken prior enrolling valparaiso university apply toward transfer ; freshmen awarded . transferred valparaiso university after begun career valparaiso university considered applicable toward fulfilling granted transfer taken prior enrolling valparaiso university . transferred valparaiso university after begun career valparaiso university considered applicable toward fulfilling ,CORE 115
